#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="lambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter id="lambda" lower="0.0" name="x">54.1667</parameter>
#            <distr id="OneOnX" spec="beast.math.distributions.OneOnX"/>
#        </distribution>
#        <snapprior id="snapprior" lambda="@lambda" name="distribution" rateprior="gamma">
#            <parameter id="alpha" lower="0.0" name="alpha">2.0</parameter>
#            <parameter id="beta" lower="0.0" name="beta">20.0</parameter>
#            <parameter id="kappa" lower="0.0" name="kappa">34.6574</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="tree" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snapalignment" spec="snap.Data" statecount="3">
#                    <sequence id="Sequence" taxon="A" totalcount="3">2,2,1,0,2,2,0,0,2,2,0,2,0,0,0,1,0,2,0,2,</sequence>
#                    <sequence id="Sequence1" taxon="B" totalcount="3">2,0,2,1,2,2,0,0,2,0,1,2,0,0,0,0,0,0,0,1,</sequence>
#                    <sequence id="Sequence2" taxon="C" totalcount="3">0,0,2,0,1,2,0,1,0,2,0,1,0,0,1,0,0,2,0,2,</sequence>
#                    <sequence id="Sequence3" taxon="D" totalcount="3">2,0,2,0,2,0,2,0,0,2,0,2,1,2,2,0,2,2,2,2,</sequence>
#                </taxa>
#            </tree>
#        </snapprior>
#    </distribution>
#    <snaptreelikelihood data="@snapalignment" id="treeLikelihood" name="distribution" non-polymorphic="false" pattern="rate" tree="@tree">
#        <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#            <substModel coalescenceRate="@coalescenceRate" id="SnapSubstitutionModel" spec="snap.likelihood.SnapSubstitutionModel">
#                <parameter id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#            </substModel>
#        </siteModel>
#    </snaptreelikelihood>
#</input>
#
Sample	u	v	prior	lambdaPrior	treeLikelihood	P0	P1	posterior	lambda	coalescenceRate1	coalescenceRate2	coalescenceRate3	coalescenceRate4	coalescenceRate5	coalescenceRate6	coalescenceRate7	theta0	theta1	theta2	theta3	theta4	theta5	theta6	tree.height	tree.length
1000	1.0	1.0	-86.07632461215069	-3.9920663284861084	-70.95570042895828	0.40594328994518436	0.4059432899451872	-157.03202504110897	54.1667	15.451865530050398	32.25769587818502	13.920792379898446	115.88552544540015	11.771121102294698	19.85362609468926	431.91634225602434	0.12943420948819742	0.062000708530225324	0.14366998267196268	0.017258410766254898	0.16990735059297912	0.10073726534695791	0.004630526341173895	0.03105530334227048	0.11351008060158911
1100	1.0	1.0	-91.88774785457882	-3.9920663284861084	-68.36856626392482	0.41012400240306784	0.4101240024030696	-160.25631411850364	54.1667	77.4646259990872	34.96147517442312	21.050253247213462	215.19451275112255	33.96460760349901	29.027051487517653	371.24572995834984	0.02581823605555866	0.05720582412561202	0.09501073343451348	0.009293917277124284	0.05888482573824764	0.06890124547648421	0.0053872673504537835	0.03461723257015823	0.11193290479378706
1200	1.0	1.0	-87.39065440594457	-3.9920663284861084	-70.00940695045806	0.4105289874056841	0.4105289874056834	-157.40006135640263	54.1667	20.211358663980448	26.187269276602986	36.18008483668976	98.2316058084732	33.22286004812754	28.382232108764132	416.284031666785	0.09895425801157486	0.07637298791542575	0.05527903013571228	0.0203600458685313	0.0601995131395294	0.07046662124161902	0.004804412006850414	0.03144639694205445	0.10454535382126057
1300	1.0	1.0	-80.9861622279335	-3.9920663284861084	-72.15671168207855	0.36298920000238816	0.36298920000238666	-153.14287391001204	54.1667	34.91212375854419	11.910381924551487	15.058622720450602	30.624746222589227	33.67695758272715	11.177213684680321	83.5866534539218	0.05728668968499894	0.16792072770372682	0.1328142710743306	0.06530666361978775	0.05938778748308893	0.17893547143517832	0.023927264908416575	0.04923812076789253	0.14209802947324499
1400	1.0	1.0	-83.23861474369541	-3.9920663284861084	-71.23649352107941	0.38521938845953774	0.3852193884595364	-154.4751082647748	54.1667	47.07903192149907	15.312643848113952	16.220967810000452	41.83176790947962	68.91756311328449	26.4963108438915	74.13190712885347	0.042481757129901425	0.13061101791682686	0.12329720540885188	0.047810554034623386	0.029020178741846456	0.0754822062506518	0.026978936296939864	0.04001191019744919	0.12849998975371213
1500	1.0	1.0	-87.29887017866695	-3.9920663284861084	-71.84161666725768	0.3595629572483245	0.3595629572483255	-159.1404868459246	54.1667	39.62628151087297	60.24151372727207	17.23550061067135	68.3477548309565	50.94142012293759	17.758248023686974	76.28084662341993	0.05047155382094644	0.03319969695739195	0.11603956538179698	0.029262117021203852	0.03926078219204282	0.11262372264044768	0.026218901448138293	0.05867992313547636	0.16924288125527182
1600	1.0	1.0	-84.8799251759918	-3.9920663284861084	-69.61188129045826	0.3985515541890921	0.3985515541890916	-154.49180646645004	54.1667	79.43541073328142	47.02265559257026	14.0652516844334	121.12471630707577	32.36679448119623	22.26467363225773	62.42338779526312	0.02517768815617203	0.042532689291925205	0.14219439828534908	0.0165119065784195	0.06179172303151359	0.08982839959990879	0.03203927359020662	0.028463509877858374	0.10194469648916041
1700	1.0	1.0	-86.85165589009806	-3.9920663284861084	-69.10971500175688	0.41391571575285746	0.4139157157528556	-155.96137089185493	54.1667	117.75622480621	103.6631727609864	19.2185254436124	174.9000329798559	28.552340162337355	12.79890306932679	59.35868860460714	0.016984240139248485	0.019293254747386038	0.1040662565849834	0.011435103618478734	0.07004679786766296	0.1562633914146205	0.03369346673613624	0.02189021554696216	0.07488898892234702
1800	1.0	1.0	-83.8578883709675	-3.9920663284861084	-69.7249740860156	0.3746404095318526	0.37464040953185457	-153.5828624569831	54.1667	64.86280271894606	81.87778885861013	22.57349960265775	122.69959745814198	14.021436352791204	20.679957344753994	29.708387494300975	0.030834313599831718	0.024426648885861837	0.0885994655327845	0.01629997197572131	0.14263873897640067	0.09671199832079691	0.0673210553882692	0.028678221067667913	0.10725738646418098
1900	1.0	1.0	-83.21296022733424	-3.9920663284861084	-70.51627027245208	0.35485497746981565	0.3548549774698149	-153.7292304997863	54.1667	51.64703172049746	51.889629265510855	16.8044824789458	168.89006287428043	33.24847946064978	9.723340380486041	22.55776931313686	0.038724393897863606	0.03854334726051564	0.11901586392236617	0.011842022946541112	0.060153126772820954	0.20569062911896394	0.08866124891326332	0.03490422252666291	0.10573453525649787
2000	1.0	1.0	-79.89772067769326	-3.9920663284861084	-73.66713419438385	0.387528806324019	0.38752880632401876	-153.5648548720771	54.1667	47.72478844500608	59.248615981642814	10.0208873617441	112.24499021111778	21.037158902635746	16.620524200284574	34.01355880093643	0.04190694322940011	0.033756062768110336	0.19958312351012267	0.017818167173771125	0.09506987180428722	0.12033314809443593	0.05880008062975574	0.022650257727240743	0.06402079055192607
2100	1.0	1.0	-79.57065929036337	-3.9920663284861084	-70.9171085549758	0.3698377832407632	0.36983778324076627	-150.48776784533916	54.1667	27.94566675480103	61.411246759157045	13.765625199046408	81.6434323031534	15.278233411109666	21.837464264352835	28.68047271184358	0.07156744612852733	0.032567324481191706	0.1452894417130104	0.02449676530714341	0.1309051868880133	0.0915857251459718	0.06973385760040494	0.027665517745713054	0.09813936733262033
2200	1.0	1.0	-80.01449342290697	-3.9920663284861084	-70.85447803150306	0.3737050527327145	0.37370505273271454	-150.86897145441003	54.1667	26.98177576925211	39.50658936124291	26.182305158289537	48.57440466286741	29.89818727632309	30.460773659385598	36.99420864774579	0.07412410573358777	0.05062446625580028	0.07638746809758205	0.041173947758723545	0.06689368761777192	0.06565821414663112	0.05406251608309151	0.033252073827520816	0.10681307829271497
